TIPO,REF,Etapa,ACCT,BUDGET
Above the Line,Detalle,PREP,1426-008,1218
Above the Line,Detalle,PREP,1426-009,870
Above the Line,Detalle,PREP,1426-010,11419
Above the Line,Detalle,,1426-013,0
Above the Line,Detalle,PREP,1426-014,7500
Above the Line,Sub cuenta,,1480,170000
Above the Line,Detalle,,1480-002,0
Above the Line,Detalle,ALL SHOW,1480-003,70000
Above the Line,Detalle,,1480-006,0
Above the Line,Detalle,PREP,1480-007,40000
Above the Line,Detalle,,1480-010,0
Above the Line,Detalle,PREP,1480-011,60000
Above the Line,Sub cuenta,,1487,8000
Above the Line,Detalle,,1487-002,0
Above the Line,Detalle,PREP,1487-003,8000
Above the Line,Sub cuenta,,1499,818091.0300000001
Above the Line,Detalle,Fringes,1499-001,818091.0300000001
Above the Line,Cuenta General,,1600,1416166.53
Above the Line,Sub cuenta,,1620,108000
Above the Line,Detalle,,1620-002,0
Above the Line,Detalle,ALL SHOW,1620-003,54000
Above the Line,Detalle,ALL SHOW,1620-004,54000
Above the Line,Sub cuenta,,1621,229344
Above the Line,Detalle,,1621-002,0
Above the Line,Detalle,ALL SHOW,1621-003,80000
Above the Line,Detalle,ALL SHOW,1621-004,20000
Above the Line,Detalle,,1621-007,0
Above the Line,Detalle,ALL SHOW,1621-008,80000
Above the Line,Detalle,ALL SHOW,1621-009,20000
Above the Line,Detalle,,1621-012,0
Above the Line,Detalle,ALL SHOW,1621-013,29344.44
Above the Line,Sub cuenta,,1630,50000
Above the Line,Detalle,,1630-002,0
Above the Line,Detalle,,1630-004,0
Above the Line,Detalle,ALL SHOW,1630-005,5000
Above the Line,Detalle,ALL SHOW,1630-006,5000
Above the Line,Detalle,,1630-009,0
Above the Line,Detalle,ALL SHOW,1630-010,5000
Above the Line,Detalle,ALL SHOW,1630-011,5000
Above the Line,Detalle,,1630-014,0
Above the Line,Detalle,ALL SHOW,1630-015,5000
Above the Line,Detalle,ALL SHOW,1630-016,5000
Above the Line,Detalle,,1630-019,0
Above the Line,Detalle,ALL SHOW,1630-020,5000
Above the Line,Detalle,ALL SHOW,1630-021,5000
Above the Line,Detalle,,1630-024,0
Above the Line,Detalle,2nd Unit,1630-025,5000
Above the Line,Detalle,2nd Unit,1630-026,5000
Above the Line,Sub cuenta,,1631,95072
Above the Line,Detalle,,1631-002,0
Above the Line,Detalle,PREP,1631-003,12600
Above the Line,Detalle,SHOOT,1631-004,44100
Above the Line,Detalle,,1631-007,0
Above the Line,Detalle,2nd Unit,1631-008,6300
Above the Line,Detalle,2nd Unit,1631-009,12600
Above the Line,Detalle,,1631-012,0
Above the Line,Detalle,ALL SHOW,1631-013,14672.22
Above the Line,Detalle,,1631-016,0
Above the Line,Detalle,ALL SHOW,1631-017,4800
Above the Line,Sub cuenta,,1640,209442
Above the Line,Detalle,,1640-002,0
Above the Line,Detalle,ALL SHOW,1640-003,24000
Above the Line,Detalle,ALL SHOW,1640-004,24000
Above the Line,Detalle,ALL SHOW,1640-005,21441.63
Above the Line,Detalle,,1640-008,0
Above the Line,Detalle,ALL SHOW,1640-009,140000
Above the Line,Sub cuenta,,1641,560513
Above the Line,Detalle,,1641-002,0
Above the Line,Detalle,ALL SHOW,1641-003,208000
Above the Line,Detalle,ALL SHOW,1641-004,80000
Above the Line,Detalle,,1641-007,0
Above the Line,Detalle,ALL SHOW,1641-008,100800
Above the Line,Detalle,,1641-011,0
Above the Line,Detalle,ALL SHOW,1641-012,12000
Above the Line,Detalle,,1641-015,0
Above the Line,Detalle,ALL SHOW,1641-016,134117.58
Above the Line,Detalle,,1641-019,0
Above the Line,Detalle,ALL SHOW,1641-020,25595.82
Above the Line,Sub cuenta,,1642,146500
Above the Line,Detalle,,1642-002,0
Above the Line,Detalle,SHOOT,1642-003,60000
Above the Line,Detalle,,1642-006,0
Above the Line,Detalle,SHOOT,1642-007,10500
Above the Line,Detalle,SHOOT,1642-008,5250
