SUBTOTAL,PARTIDA PRESUPUESTAL
52500.0,Debtor
2009.35,2494-011
136.4,2494-019
296.3,2594-003
2300.0,4180-003
77026.89,3902-025
2310.81,3999-001
48000.0,1621-003
5500.0,2794-003
3600.0,2794-003
47300.0,2794-003
79400.0,2794-003
9000.0,2794-003
26500.0,2795-003
101600.0,2794-003
27000.0,2311-005
49940.0,2494-067
10610.0,2494-003
73285.86,1641-003
171.55,2794-003
1637.07,2794-003
541.38,2794-003
1033.62,2794-003
753.71,2794-003
1580.17,2494-011
585.52,2494-035
1400.0,2494-031
1375.0,2494-019
952.0,2494-003
31.32,2285-003
34.8,2285-003
7232.77,2808-003
2543.1,2808-003
980.13,2808-003
105.42,2808-003
980.68,2808-003
465.52,2808-003
93.97,2808-003
529.37,2808-003
4310.34,2808-003
10408.63,2808-003
3637.94,2808-003
10201.73,2808-003
1629.31,2808-003
343.97,2808-003
48013.06,1641-003
5162.07,3401-042
10844.21,4180-003
11335.59,4180-003
4894.31,4180-003
378.0,4180-003
189.66,4180-003
2142.24,4180-003
1209.48,4180-003
6762.89,3401-042
7208.97,4180-003
41236.64,1641-003
3597.43,2794-003
160.0,2794-003
80.0,2794-003
420.0,2494-011
1905.17,2494-003
121.84,2285-003
300.86,2494-035
2381.89,2385-003
1500.0,2494-035
540.0,2494-035
810.34,2494-035
1115.52,2494-035
435.35,2311-003
300.86,2494-015
662.07,2494-003
782.76,2494-035
880.0,2494-031
40.0,2494-035
1440.0,2494-027
525.0,2494-027
530.0,2494-035
723.27,2494-003
395.0,2494-035
608.0,2494-031
447.0,2494-035
244.64,2285-003
52.9,2285-003
440.0,2494-007
1200.0,2494-011
7115.95,2494-035
1024.14,2494-003
1355.17,2494-003
1000.0,2494-035
34.8,2285-003
50.0,2285-003
10.0,2285-003
2628.0,2494-003
970.63,2494-003
1050.5,2494-003
156.74,2494-003
858.37,2494-003
1907.16,2494-003
905.17,2494-003
308.62,2494-003
292.24,2494-003
1259.72,2494-003
465.41,2494-003
137.9,2494-003
155.12,2494-003
68.96,2494-003
244.75,2494-003
318.1,2494-015
111.21,2485-003
489.22,2494-071
1148.28,2494-011
5094.74,2494-035
1911.63,2494-023
5505.16,2494-003
6390.0,2494-059
-298909.1,Petty Cash & Floats
150000.0,Petty Cash & Floats
3660.0,7038-009
197118.96,3813-003
250000.0,3412-007
33626.91,2494-003
94788.91,7230-001
134117.59,1621-013
3468.62,1621-013
32700.0,1641-003
5000.0,3683-128
65000.0,1302-003
1300.0,1302-004
1020000.0,Petty Cash & Floats
24888.0,7038-009
164910.44,5110-003
16000.0,5110-004
160000.0,5113-003
200000.0,5120-003
57600.0,5209-003
162000.0,5222-003
81000.0,5222-004
81000.0,5222-005
81000.0,5222-006
36000.0,5222-007
180000.0,5222-008
5000.0,5222-009
70242.23,6101-013
3139.0,3683-036
34250.0,4180-003
3593.8,7080-003
41578.0,3401-042
9900.0,2794-003
8000.0,2494-047
2800.0,2794-003
2700.0,4180-003
16000.0,3201-003
5000.0,4180-003
70291.73,3632-003
34878.26,3683-005
34878.26,3683-011
26158.7,3683-017
6394.35,3683-023
6278.09,3683-029
3139.04,3683-138
6278.09,3683-041
12788.7,3683-047
25577.39,3683-053
43597.83,3683-059
34878.26,3683-065
8719.57,3683-071
34878.26,3683-077
12788.7,3683-083
34878.26,3683-089
12788.7,3683-095
4650.44,3683-143
20345.65,3683-154
83.0,3442-024
17861.82,3442-024
2232.73,3442-024
11163.64,3442-025
5581.82,3442-024
5779.8,3936-003
5779.8,3936-004
2989.55,3936-008
2989.55,3936-009
857.73,3936-003
857.73,3936-004
571.82,3936-003
571.82,3936-003
41805.52,3683-006
41805.52,3683-012
62708.27,3683-018
30657.38,3683-024
30099.97,3683-030
15049.99,3683-138
30099.97,3683-042
30657.38,3683-048
30657.38,3683-054
20902.76,3683-060
20902.76,3683-066
20902.76,3683-072
20902.76,3683-078
30657.38,3683-084
20902.76,3683-090
30657.38,3683-096
31354.14,3683-101
39018.48,3683-105
78036.96,3683-109
39018.48,3683-158
39018.48,3683-158
12690.96,3683-171
6967.59,3683-154
36849.98,3442-025
1238.16,3442-025
1238.16,3442-025
2476.32,3442-025
60492.92,3442-025
8187.01,3442-029
23878.78,3442-025
3638.67,3442-029
14233.38,3683-006
14233.38,3683-012
21350.07,3683-018
10437.81,3683-024
10248.03,3683-030
5124.02,3683-138
10248.03,3683-042
10437.81,3683-048
10437.81,3683-054
7116.69,3683-060
7116.69,3683-066
7116.69,3683-072
7116.69,3683-078
10437.81,3683-084
7116.69,3683-090
10437.81,3683-096
10675.04,3683-101
13284.49,3683-105
26568.98,3683-109
13284.49,3683-158
13284.49,3683-158
4320.85,3683-171
2372.23,3683-154
5030.82,3442-025
169.04,3442-025
169.04,3442-025
338.07,3442-025
8258.6,3442-025
1117.71,3442-029
3259.97,3442-025
496.76,3442-029
32251.0,3632-003
3958.84,3683-006
3958.84,3683-012
5938.26,3683-018
2903.15,3683-024
2850.36,3683-030
1425.18,3683-138
2850.36,3683-042
2903.15,3683-048
2903.15,3683-054
1979.42,3683-060
1979.42,3683-066
1979.42,3683-072
1979.42,3683-078
2903.15,3683-084
1979.42,3683-090
2903.15,3683-096
2969.13,3683-101
3694.92,3683-105
7389.83,3683-109
3694.92,3683-143
3694.92,3683-158
1201.79,3683-171
659.81,3683-154
480.65,3442-025
16.15,3442-025
16.15,3442-025
32.3,3442-025
789.04,3442-025
106.79,3442-029
311.46,3442-025
47.46,3442-029
11006.45,3632-003
627.73,3936-004
627.73,3936-004
324.69,3936-008
324.69,3936-009
93.16,3936-003
93.16,3936-004
62.1,3936-003
62.1,3936-003
14193.04,3683-006
14193.04,3683-012
21289.57,3683-018
10408.23,3683-024
10218.99,3683-030
5109.5,3683-138
10218.99,3683-042
10408.23,3683-048
10408.23,3683-054
7096.52,3683-060
7096.52,3683-066
7096.52,3683-072
7096.52,3683-078
10408.23,3683-084
7096.52,3683-090
10408.23,3683-096
10644.78,3683-101
13246.84,3683-105
26493.68,3683-109
13246.84,3683-158
13246.84,3683-158
4308.6,3683-171
2365.51,3683-154
4886.63,3442-025
164.19,3442-025
164.19,3442-025
328.38,3442-025
8021.89,3442-025
1085.67,3442-029
3166.53,3442-025
482.52,3442-029
32159.83,3632-003
22649.52,3683-006
22649.52,3683-012
33974.27,3683-018
16609.65,3683-024
16307.65,3683-030
8153.83,3683-138
16307.65,3683-042
16609.65,3683-048
16609.65,3683-054
11324.76,3683-060
11324.76,3683-066
11324.76,3683-072
11324.76,3683-078
16609.65,3683-084
11324.76,3683-090
16609.65,3683-096
16987.14,3683-101
21139.55,3683-105
42279.1,3683-109
21139.55,3683-158
21139.55,3683-158
6875.75,3683-171
3774.92,3683-154
5340.58,3442-025
179.44,3442-029
179.44,3442-029
358.89,3442-029
8767.09,3442-025
1186.52,3442-029
3460.69,3442-025
527.34,3442-029
37500.0,3632-008
5759.12,3683-011
5759.12,3683-012
8638.68,3683-018
4223.35,3683-024
4146.57,3683-030
2073.28,3683-138
4146.57,3683-042
4223.35,3683-048
4223.35,3683-054
2879.56,3683-060
2879.56,3683-066
2879.56,3683-072
2879.56,3683-078
4223.35,3683-084
2879.56,3683-090
